CodeFormat;CodeVariante;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
mitKommentar;NestedLoops;1;2;4;false;14665;
ohneKommentar;BoolLogik;1;1;2;false;108414;
mitKommentar;NestedLoops;1;6;1;false;12426;
mitKommentar;NestedLoops;1;1;3;false;5138;
mitKommentar;Rekursion;1;3;1;false;143853;
ohneKommentar;Rekursion;1;5;2;false;34813;
ohneKommentar;BoolLogik;1;1;3;false;68214;
ohneKommentar;Rekursion;1;2;3;false;24820;
ohneKommentar;BoolLogik;1;1;1;true;81728;
ohneKommentar;NestedLoops;1;1;0;false;78488;
mitKommentar;BoolLogik;1;1;1;true;40632;
ohneKommentar;Rekursion;1;5;5;true;4951;
mitKommentar;BoolLogik;1;1;0;false;14878;
ohneKommentar;NestedLoops;1;6;3;false;96037;
mitKommentar;Rekursion;1;5;6;false;10495;
ohneKommentar;NestedLoops;1;4;4;true;38391;
mitKommentar;BoolLogik;1;0;3;false;11091;
mitKommentar;Rekursion;1;3;3;true;4014;
